"Confidence","Score","Artwork ID","Creator","Artwork Title","Year","Top Match Filename","Match Reasons","Image ID","Image URL","Alt Candidate 1","Alt Candidate 2"
"HIGH","100","hEWOpVV05Nk2Wkv6vKsJMt","Claudia Hoppe","spraypaint","2017","49354_claudia-hoppe_bangles-spraypaint_935-silver_lacquer_german-design-award-nominee-2017.jpg","Full creator name match; Full title match; Year 2017","image-677868164269e6bcb851ec63333c02296e574736-1920x1300-jpg","https://cdn.sanity.io/images/b8bczekj/production/677868164269e6bcb851ec63333c02296e574736-1920x1300.jpg","64161_claudia-hoppe_armreife-spraypaint.jpg","64153_claudia-hoppe_armreife-spraypaint.jpg"
"HIGH","100","5Nnn2PqcEKG4dqRP9jCN4c","Deok Ho Kim","Vestige","2014","25045_deok-ho-kim-vestige-white-porcelain-grey-and-blue-linear-marbling-wheel-throwing-1280-degree-oxidation-firing-polishing_2014_dia-26-8-x-h-13-6cm.jpg","Full creator name match; Full title match; Year 2014","image-27f9d2cfd2c0441ca808f362d95ff44d60edfdde-1920x1280-jpg","https://cdn.sanity.io/images/b8bczekj/production/27f9d2cfd2c0441ca808f362d95ff44d60edfdde-1920x1280.jpg","25043_deok-ho-kim-vestige_white-porcelainblue-and-red-mixture-marbling-wheel-throwing-1280-degree-firing-polishing_2014_dia-16xh-10-8cm.jpg","25033_deok-ho-kim-vestige_white-porcelain-green-and-blue-marbling-wheel-throwing-1280-degree-reduction-firing-polishing_2014_dia-18xh-13-5cm.jpg"
"HIGH","100","5Nnn2PqcEKG4dqRP9jCN9G","Deok Ho Kim","Vestige","2014","25045_deok-ho-kim-vestige-white-porcelain-grey-and-blue-linear-marbling-wheel-throwing-1280-degree-oxidation-firing-polishing_2014_dia-26-8-x-h-13-6cm.jpg","Full creator name match; Full title match; Year 2014","image-27f9d2cfd2c0441ca808f362d95ff44d60edfdde-1920x1280-jpg","https://cdn.sanity.io/images/b8bczekj/production/27f9d2cfd2c0441ca808f362d95ff44d60edfdde-1920x1280.jpg","25043_deok-ho-kim-vestige_white-porcelainblue-and-red-mixture-marbling-wheel-throwing-1280-degree-firing-polishing_2014_dia-16xh-10-8cm.jpg","25033_deok-ho-kim-vestige_white-porcelain-green-and-blue-marbling-wheel-throwing-1280-degree-reduction-firing-polishing_2014_dia-18xh-13-5cm.jpg"
"HIGH","100","5Nnn2PqcEKG4dqRP9jCNDu","Deok Ho Kim","Vestige","2014","25045_deok-ho-kim-vestige-white-porcelain-grey-and-blue-linear-marbling-wheel-throwing-1280-degree-oxidation-firing-polishing_2014_dia-26-8-x-h-13-6cm.jpg","Full creator name match; Full title match; Year 2014","image-27f9d2cfd2c0441ca808f362d95ff44d60edfdde-1920x1280-jpg","https://cdn.sanity.io/images/b8bczekj/production/27f9d2cfd2c0441ca808f362d95ff44d60edfdde-1920x1280.jpg","25043_deok-ho-kim-vestige_white-porcelainblue-and-red-mixture-marbling-wheel-throwing-1280-degree-firing-polishing_2014_dia-16xh-10-8cm.jpg","25033_deok-ho-kim-vestige_white-porcelain-green-and-blue-marbling-wheel-throwing-1280-degree-reduction-firing-polishing_2014_dia-18xh-13-5cm.jpg"
"HIGH","100","5Nnn2PqcEKG4dqRP9jCNIY","Deok Ho Kim","Vestige","2015","25039_deok-ho-kim-vestige_white-porcelain-marbling-wheel-throwing-1280-reduction-firing-polishing_2015_dia-26-8-x-h-13-5-cm.jpg","Full creator name match; Full title match; Year 2015","image-2216d4bc6b0badf9e5da366a06335afbb0748e48-1920x1300-jpg","https://cdn.sanity.io/images/b8bczekj/production/2216d4bc6b0badf9e5da366a06335afbb0748e48-1920x1300.jpg","25035_deok-ho-kim-vestige_white-porcelain-marbling-wheel-throwing-1280-degree-reduction-firing-polishing_2015_dia-9-9-x-h-17-4-cm.jpg","25037_deok-ho-kim-vestige_white-porcelain-marbling-wheel-throwing-1280-degree-reduction-firing-polishing_2015_dia-22-5-x-h-15-1cm.jpg"
"HIGH","100","5Nnn2PqcEKG4dqRP9jCNNC","Deok Ho Kim","Vestige","2014","25045_deok-ho-kim-vestige-white-porcelain-grey-and-blue-linear-marbling-wheel-throwing-1280-degree-oxidation-firing-polishing_2014_dia-26-8-x-h-13-6cm.jpg","Full creator name match; Full title match; Year 2014","image-27f9d2cfd2c0441ca808f362d95ff44d60edfdde-1920x1280-jpg","https://cdn.sanity.io/images/b8bczekj/production/27f9d2cfd2c0441ca808f362d95ff44d60edfdde-1920x1280.jpg","25043_deok-ho-kim-vestige_white-porcelainblue-and-red-mixture-marbling-wheel-throwing-1280-degree-firing-polishing_2014_dia-16xh-10-8cm.jpg","25033_deok-ho-kim-vestige_white-porcelain-green-and-blue-marbling-wheel-throwing-1280-degree-reduction-firing-polishing_2014_dia-18xh-13-5cm.jpg"
"HIGH","100","5Nnn2PqcEKG4dqRP9jCNRq","Deok Ho Kim","Vestige","2015","25039_deok-ho-kim-vestige_white-porcelain-marbling-wheel-throwing-1280-reduction-firing-polishing_2015_dia-26-8-x-h-13-5-cm.jpg","Full creator name match; Full title match; Year 2015","image-2216d4bc6b0badf9e5da366a06335afbb0748e48-1920x1300-jpg","https://cdn.sanity.io/images/b8bczekj/production/2216d4bc6b0badf9e5da366a06335afbb0748e48-1920x1300.jpg","25035_deok-ho-kim-vestige_white-porcelain-marbling-wheel-throwing-1280-degree-reduction-firing-polishing_2015_dia-9-9-x-h-17-4-cm.jpg","25037_deok-ho-kim-vestige_white-porcelain-marbling-wheel-throwing-1280-degree-reduction-firing-polishing_2015_dia-22-5-x-h-15-1cm.jpg"
"HIGH","100","5Nnn2PqcEKG4dqRP9jCNWU","Deok Ho Kim","Vestige","2015","25039_deok-ho-kim-vestige_white-porcelain-marbling-wheel-throwing-1280-reduction-firing-polishing_2015_dia-26-8-x-h-13-5-cm.jpg","Full creator name match; Full title match; Year 2015","image-2216d4bc6b0badf9e5da366a06335afbb0748e48-1920x1300-jpg","https://cdn.sanity.io/images/b8bczekj/production/2216d4bc6b0badf9e5da366a06335afbb0748e48-1920x1300.jpg","25035_deok-ho-kim-vestige_white-porcelain-marbling-wheel-throwing-1280-degree-reduction-firing-polishing_2015_dia-9-9-x-h-17-4-cm.jpg","25037_deok-ho-kim-vestige_white-porcelain-marbling-wheel-throwing-1280-degree-reduction-firing-polishing_2015_dia-22-5-x-h-15-1cm.jpg"
"HIGH","100","MnHq3gipaho0Iv07wmzZPi","Dorothea Brill","Meter-weise Blume","2018","53012_dorothea-brill_meter-weise_blume_schmuck_schmuckdesign_german-design-award-winner-2018.jpg","Full creator name match; Full title match; Year 2018","image-2418c8ceb094eb56ea5ab52cb921426b6c0ae236-1920x2220-jpg","https://cdn.sanity.io/images/b8bczekj/production/2418c8ceb094eb56ea5ab52cb921426b6c0ae236-1920x2220.jpg","52982_dorothea-brill_meter-weise_blume_schmuck_schmuckdesign_german-design-award-winner-2018.jpg","52996_dorothea-brill_meter-weise_ladakh_schmuckdesign_german-design-award-winner-2018.jpg"
"HIGH","100","5Nnn2PqcEKG4dqRP9jCUGY","In Hwa Lee","Light of Dot","2013","19010_in-hwa-lee_light-of-dot-series_white-porcelain-opaque-clay-wheel-throwing-1280-degrees-reduction-firing-polishing_7-5x10-5-each_2013.jpg","Full creator name match; Full title match; Year 2013","image-7492a947eb3eab735d90b9e0cfb7f50cf27d5f32-1920x1260-jpg","https://cdn.sanity.io/images/b8bczekj/production/7492a947eb3eab735d90b9e0cfb7f50cf27d5f32-1920x1260.jpg","19022_in-hwa-lee_shadowed-color-red-cylider-set_white-porcelain-opaque-clay-wheel-throwing-1280-degrees-reduction-firing-polishing_19-5x9-7cm_2013.jpg","19016_in-hwa-lee_shadowed-color-cylinder_19x11-5cm_white-porcelain-wheel-throwing-1280c-oxidation-firing-polishing_2014.jpg"
"HIGH","100","5Nnn2PqcEKG4dqRP9jCTxy","In Hwa Lee","Shadowed Color Cylinder","2014","19016_in-hwa-lee_shadowed-color-cylinder_19x11-5cm_white-porcelain-wheel-throwing-1280c-oxidation-firing-polishing_2014.jpg","Full creator name match; Full title match; Year 2014","image-1649aab5f5db4486e4e9d21d46c547bba4fddfc8-1920x1260-jpg","https://cdn.sanity.io/images/b8bczekj/production/1649aab5f5db4486e4e9d21d46c547bba4fddfc8-1920x1260.jpg","19014_in-hwa-lee_shadowed-color-cup-set_9-2x8-7-each-set_white-porcelain-wheel-throwing-1280-degrees-oxidation-firing-polishing_2014.jpg","19024_in-hwa-lee_shadowed-color-yellow-cylinder-14-5xh-9-3-2.jpg"
"HIGH","100","5Nnn2PqcEKG4dqRP9jCU2c","In Hwa Lee","Shadowed Color Cylinder","2014","19016_in-hwa-lee_shadowed-color-cylinder_19x11-5cm_white-porcelain-wheel-throwing-1280c-oxidation-firing-polishing_2014.jpg","Full creator name match; Full title match; Year 2014","image-1649aab5f5db4486e4e9d21d46c547bba4fddfc8-1920x1260-jpg","https://cdn.sanity.io/images/b8bczekj/production/1649aab5f5db4486e4e9d21d46c547bba4fddfc8-1920x1260.jpg","19014_in-hwa-lee_shadowed-color-cup-set_9-2x8-7-each-set_white-porcelain-wheel-throwing-1280-degrees-oxidation-firing-polishing_2014.jpg","19024_in-hwa-lee_shadowed-color-yellow-cylinder-14-5xh-9-3-2.jpg"
"HIGH","100","5Nnn2PqcEKG4dqRP9jCUUU","Jeong Won Lee","Line for Ellipse","2013","13796_jeong-won-lee-line-for-ellipse-glazed_white-porcelain-slipcasting-transparent-glaze-1280-degrees-reduction-firing-polishing_26-5x13x14-cm-19x8x18-cm_2013.jpg","Full creator name match; Full title match; Year 2013","image-6517030e8001abb59c08e1960e2f62c14b056e24-1920x1300-jpg","https://cdn.sanity.io/images/b8bczekj/production/6517030e8001abb59c08e1960e2f62c14b056e24-1920x1300.jpg","13772_jeong-won-lee-profilbild.jpg","18985_jeong-won-lee-profilbild-3.jpg"
"HIGH","90","hEWOpVV05Nk2Wkv6vKsMFR","Angela Huebel","Mikado","","47796_4041_mikado-m-perle_h-angela-huebel-ring.jpg","Full creator name match; Full title match","image-a3e67efbbfd90921e476f2e815c4f9898d5c0c78-1920x1300-jpg","https://cdn.sanity.io/images/b8bczekj/production/a3e67efbbfd90921e476f2e815c4f9898d5c0c78-1920x1300.jpg","47788_3099_mondschein-angela-huebel-ring.jpg","1481_angela-huebel-vorschau-2-2.jpg"
"HIGH","90","hEWOpVV05Nk2Wkv6vKsMB5","Angela Huebel","Zebra","","47790_3105_zebra-m-brill-h-angela-huebel-ring.jpg","Full creator name match; Full title match","image-a88207ebb058cddc78ede1135a73dde1a564698e-1920x1300-jpg","https://cdn.sanity.io/images/b8bczekj/production/a88207ebb058cddc78ede1135a73dde1a564698e-1920x1300.jpg","47788_3099_mondschein-angela-huebel-ring.jpg","1481_angela-huebel-vorschau-2-2.jpg"
"HIGH","90","hEWOpVV05Nk2Wkv6vKs3up","Anne Fischer","o.T.","","45773_9_anne-fischer-o-t-eisen-bronzefoto-brigitte-sauer_bearbeitet.jpg","Full creator name match; Full title match","image-e4fe4329dca768f4927ff71bf94390ef03411964-1920x1300-jpg","https://cdn.sanity.io/images/b8bczekj/production/e4fe4329dca768f4927ff71bf94390ef03411964-1920x1300.jpg","57046_johannes-nagel_blue-orbit_photo-tom-dachs.jpg","18720_o-t-2013-porzellan-johannes-nagel.jpg"
"HIGH","90","MnHq3gipaho0Iv07wn00NF","Anne Ute Kaden","Alloy 925","","57016_anne-ute-kaden_schmuck_alloy-925_2-2.jpg","Full creator name match; Full title match","image-e0bd23289564c245128460807e5a31345435905c-1920x1300-jpg","https://cdn.sanity.io/images/b8bczekj/production/e0bd23289564c245128460807e5a31345435905c-1920x1300.jpg","57012_anne-ute-kaden_portrait.jpg","24641_dong-hyun-kimkanne-watering-i-silber-925-20-x-15-x-12-cm.jpg"
"HIGH","90","hEWOpVV05Nk2Wkv6vKs7Hr","Bettina Geistlich","Circulus","2012","1235_bettina-geistlich-ring-circulus-3.jpg","Full creator name match; Full title match","image-721e6f56d8d9c17fadf2e8d16f9cbd6ecd4a8256-1920x1260-jpg","https://cdn.sanity.io/images/b8bczekj/production/721e6f56d8d9c17fadf2e8d16f9cbd6ecd4a8256-1920x1260.jpg","1239_bettina-geistlich-ring-velvel-3.jpg","1233_bettina-geistlich-armreif-trema-3.jpg"
