"sanity_id","artwork_name","creator_name","year","category","slug","profiles_creator_search_url","profiles_artwork_search_url"
"hEWOpVV05Nk2Wkv6vKs7hz","Achim Gersmann_Crown QR","Achim Gersmann","2012","Design Jewelry","achim-gersmann-artwork-vks7hz","https://artaurea.de/profiles/?s=Achim%20Gersmann","https://artaurea.de/profiles/?s=Achim%20Gersmann%20Crown%20QR"
"hEWOpVV05Nk2Wkv6vKs83l","Achim Gersmann_Crown QR","Achim Gersmann","2012","Design Jewelry","achim-gersmann-artwork-vks83l","https://artaurea.de/profiles/?s=Achim%20Gersmann","https://artaurea.de/profiles/?s=Achim%20Gersmann%20Crown%20QR"
"hEWOpVV05Nk2Wkv6vKs7dd","Achim Gersmann_Orbit 1","Achim Gersmann","","Design Jewelry","achim-gersmann-artwork-vks7dd","https://artaurea.de/profiles/?s=Achim%20Gersmann","https://artaurea.de/profiles/?s=Achim%20Gersmann%20Orbit%201"
"MnHq3gipaho0Iv07wn0c4L","Aino Nebel_Kupferschale","Aino Nebel","2007","Ceramic Art","aino-nebel-artwork-wn0c4l","https://artaurea.de/profiles/?s=Aino%20Nebel","https://artaurea.de/profiles/?s=Aino%20Nebel%20Kupferschale"
"MnHq3gipaho0Iv07wn0bzG","Aino Nebel_Wäschestück","Aino Nebel","2008","Ceramic Art","aino-nebel-artwork-wn0bzg","https://artaurea.de/profiles/?s=Aino%20Nebel","https://artaurea.de/profiles/?s=Aino%20Nebel%20W%C3%A4schest%C3%BCck"
"hEWOpVV05Nk2Wkv6vKsMFR","Angela Huebel_Mikado","Angela Huebel","","Design Jewelry","angela-huebel-artwork-vksmfr","https://artaurea.de/profiles/?s=Angela%20Huebel","https://artaurea.de/profiles/?s=Angela%20Huebel%20Mikado"
"hEWOpVV05Nk2Wkv6vKsMB5","Angela Huebel_Zebra","Angela Huebel","","Design Jewelry","angela-huebel-artwork-vksmb5","https://artaurea.de/profiles/?s=Angela%20Huebel","https://artaurea.de/profiles/?s=Angela%20Huebel%20Zebra"
"hEWOpVV05Nk2Wkv6vKs3up","Anne Fischer_o.T.","Anne Fischer","","Metal Art","anne-fischer-artwork-vks3up","https://artaurea.de/profiles/?s=Anne%20Fischer","https://artaurea.de/profiles/?s=Anne%20Fischer%20o.T."
"MnHq3gipaho0Iv07wn00NF","Anne Ute Kaden_Alloy 925","Anne Ute Kaden","","Art Jewelry","anne-ute-kaden-artwork-wn00nf","https://artaurea.de/profiles/?s=Anne%20Ute%20Kaden","https://artaurea.de/profiles/?s=Anne%20Ute%20Kaden%20Alloy%20925"
"5Nnn2PqcEKG4dqRP9jBu9a","Babette von Dohnanyi_Blue Velvet","Babette von Dohnanyi","2012","Art Jewelry","babette-von-dohnanyi-artwork-9jbu9a","https://artaurea.de/profiles/?s=Babette%20von%20Dohnanyi","https://artaurea.de/profiles/?s=Babette%20von%20Dohnanyi%20Blue%20Velvet"
"5Nnn2PqcEKG4dqRP9jBuEE","Babette von Dohnanyi_Mirror Hero","Babette von Dohnanyi","","Art Jewelry","babette-von-dohnanyi-artwork-9jbuee","https://artaurea.de/profiles/?s=Babette%20von%20Dohnanyi","https://artaurea.de/profiles/?s=Babette%20von%20Dohnanyi%20Mirror%20Hero"
