"artwork_id","artwork_name","creator","proposed_asset_id","proposed_filename","score"
"drafts.hEWOpVV05Nk2Wkv6vKs7hz","Achim Gersmann_Crown QR","Achim Gersmann","image-b425a0cd35a083aff10382f3e49a26a45ea5248e-1920x1260-jpg","5538_achim-gersmann-crown-qr1.jpg","3"
"drafts.hEWOpVV05Nk2Wkv6vKs83l","Achim Gersmann_Crown QR","Achim Gersmann","image-b425a0cd35a083aff10382f3e49a26a45ea5248e-1920x1260-jpg","5538_achim-gersmann-crown-qr1.jpg","3"
"drafts.hEWOpVV05Nk2Wkv6vKs7dd","Achim Gersmann_Orbit 1","Achim Gersmann","image-16c94be8e07e85ae4b903ebf84a8d18ecc40ea09-1920x1260-jpg","1458_achim-gersmann-orbit-1-2.jpg","3"
"drafts.hEWOpVV05Nk2Wkv6vKs887","Achim Gersmann_SL","Achim Gersmann","image-0344cbdef2326c53fa0793074a16dbe15a9049aa-1920x1260-jpg","5540_achim-gersmann-ring-p3.jpg","2"
"hEWOpVV05Nk2Wkv6vKsMFR","Angela Huebel_Mikado","Angela Huebel","image-a3e67efbbfd90921e476f2e815c4f9898d5c0c78-1920x1300-jpg","47796_4041_mikado-m-perle_h-angela-huebel-ring.jpg","3"
"hEWOpVV05Nk2Wkv6vKsMB5","Angela Huebel_Zebra","Angela Huebel","image-a88207ebb058cddc78ede1135a73dde1a564698e-1920x1300-jpg","47790_3105_zebra-m-brill-h-angela-huebel-ring.jpg","3"
"hEWOpVV05Nk2Wkv6vKs3up","Anne Fischer_o.T.","Anne Fischer","image-040e7c0800b332b716fff0f80446c19d9c0a0735-1920x1300-jpg","45763_anne-fischer-gemalte-gabeln-silber-acrylfarbe-foto-brigitte-sauer.jpg","2"
"MnHq3gipaho0Iv07wn00NF","Anne Ute Kaden_Alloy 925","Anne Ute Kaden","image-01d7b217aa7673e350f8f69e83fbb7556e65766b-1920x1300-jpg","56998_anne-ute-kaden_schmuck_alloy-925_7.jpg","5"
"5Nnn2PqcEKG4dqRP9jBu9a","Babette von Dohnanyi_Blue Velvet","Babette von Dohnanyi","image-1f0d45a3c2d5e140f3984097982249b81a9a0283-1920x1260-jpg","3972_babette-von-dohnanyi-blue-velvet-brooch-2.jpg","5"
"5Nnn2PqcEKG4dqRP9jBuEE","Babette von Dohnanyi_Mirror Hero","Babette von Dohnanyi","image-5fce3d498c3fd96e3ecc0c228dcb112a8cbfd903-1920x1260-jpg","1024_babette-von-dohnanyi-mirror-hero-chain-3.jpg","5"
"5Nnn2PqcEKG4dqRP9jBu0I","Babette von Dohnanyi_Rocks","Babette von Dohnanyi","image-12d6a1b4397ebdf6eeff24343e057eee71153d0f-1920x1260-jpg","1503_babette-von-dohnanyi-ring-rock-3.jpg","3"
"5Nnn2PqcEKG4dqRP9jBu4w","Babette von Dohnanyi_Template","Babette von Dohnanyi","image-41bb21053e3f9a7fe50517258205d85f75ec3913-1920x1260-jpg","3970_babette-von-dohnanyi-bracelet-template-2.jpg","4"
"5Nnn2PqcEKG4dqRP9jCn4U","Barbara Nanning_Botanica","Barbara Nanning","image-00328befaaf72a9c8a743223a0d6607112f7ef9e-1920x1300-jpg","49025_barbara-nanning-studioglas-24-x-22-x-18-cm.jpg","2"
"5Nnn2PqcEKG4dqRP9jCpFC","Barbara Nanning_Cacahouète","Barbara Nanning","image-c0695cd77e78c4b9201b077f67a61740e3d105a8-1920x1300-jpg","49051_barbara-nanning-studioglas-cacahouete.jpg","3"
"5Nnn2PqcEKG4dqRP9jCpT8","Barbara Nanning_Chang Chang","Barbara Nanning","image-d80938bf54f6f2f589039d74569d57c89f4da65f-1920x1300-jpg","49037_barbara-nanning-studioglas-chang-chang.jpg","3"
"5Nnn2PqcEKG4dqRP9jCm66","Barbara Nanning_Galaxy","Barbara Nanning","image-00328befaaf72a9c8a743223a0d6607112f7ef9e-1920x1300-jpg","49025_barbara-nanning-studioglas-24-x-22-x-18-cm.jpg","2"
"5Nnn2PqcEKG4dqRP9jCmFO","Barbara Nanning_Galaxy","Barbara Nanning","image-00328befaaf72a9c8a743223a0d6607112f7ef9e-1920x1300-jpg","49025_barbara-nanning-studioglas-24-x-22-x-18-cm.jpg","2"
"5Nnn2PqcEKG4dqRP9jCmK2","Barbara Nanning_Galaxy","Barbara Nanning","image-00328befaaf72a9c8a743223a0d6607112f7ef9e-1920x1300-jpg","49025_barbara-nanning-studioglas-24-x-22-x-18-cm.jpg","2"
"5Nnn2PqcEKG4dqRP9jCn98","Barbara Nanning_Reclining Flower","Barbara Nanning","image-00328befaaf72a9c8a743223a0d6607112f7ef9e-1920x1300-jpg","49025_barbara-nanning-studioglas-24-x-22-x-18-cm.jpg","2"
"5Nnn2PqcEKG4dqRP9jCmvC","Barbara Nanning_Seres","Barbara Nanning","image-00328befaaf72a9c8a743223a0d6607112f7ef9e-1920x1300-jpg","49025_barbara-nanning-studioglas-24-x-22-x-18-cm.jpg","2"
"5Nnn2PqcEKG4dqRP9jCpqM","Barbara Nanning_Tendresse","Barbara Nanning","image-b5a1960971239df3613483327c8c1465aeb3bb68-1920x1300-jpg","49023_barbara-nanning-studioglas-tendresse-40-x-25-x-47-cm.jpg","3"
"5Nnn2PqcEKG4dqRP9jCmOg","Barbara Nanning_Terra","Barbara Nanning","image-4818a3a7eeb4e6d9b2c3428f5894f2e7dbdddb8c-1920x1300-jpg","21515_barbara-nanning-terra-5a-4.jpg","3"
"5Nnn2PqcEKG4dqRP9jCmTK","Barbara Nanning_Terra","Barbara Nanning","image-4818a3a7eeb4e6d9b2c3428f5894f2e7dbdddb8c-1920x1300-jpg","21515_barbara-nanning-terra-5a-4.jpg","3"
