Item ID,Name,Last Name,Slug,Portrait,Biography,Nationality,Specialties
"68ea4dcf0d1e900673a21cb0","api-test-locales","","api-test-locales","german api-test-locales","german api-test-locales","",""
"68ea37325e1c7cbc634cf9c6","api test","test","api-test","test de","test de","",""
"68e3c2247627aa136f159b2e","Uta K. Becker","","uta-becker","","","",""
"68e3c2247627aa136f159b2c","Sachi Fujika","","sachi-fujika","","","",""
"68e3c2247627aa136f159b2a","Ron Nagle","","ron-nagle","","","",""
"68e3c2247627aa136f159b28","Preannenberg","","preannenberg","","","",""
"68e3c2247627aa136f159b26","Maria Barutzová","","maria-barutzova","","","",""
"68e3c2247627aa136f159b24","Klaus Lehman","","klaus-lehman","","","Deutschland",""
"68e3c2247627aa136f159b22","Karl Fulle","Fulle","karl-fulle","","","Deutschland",""
"68e3c2247627aa136f159b20","Junko Mori","","junko-mori","","","Japan",""
"68e3c2247627aa136f159b1e","Guido Sengle","","guido-sengle","","","Deutschland",""
"68e3c2247627aa136f159b1c","Daniel Kruger","","daniel-kruger","","","",""
"68e3c2247627aa136f159b1a","Dali Behennah","","dali-behennah","","","",""
"68e3c2247627aa136f159b18","Ann Van Hoey","","ann-van-hoey","","","",""
"68e215eb11cd212c8ceed3af","Anne Ute Kaden","Kaden","anne-ute-kaden","Die Schmuckstücke unter dem Label Alloy 925 von Anne Ute Kaden entsprechen Momentaufnahmen von Ort und Zeit. Sie werden experimentell als Unikate aus 925er Silber gefertigt und manifestieren die Beziehung zwischen Träger und Entstehungsort. Form, Farbe und Oberfläche werden durch die Gussmethode und die dabei verwendete Erde beeinflusst. Durch das direkte Schmelzen in verschiedenen Erden entstehen auf der Oberfläche des Materials raue Strukturen und Farbspiele. Die so erzeugte Individualität gewinnt mit der Zeit weiter an Bedeutung. Denn die Trägerin oder der Träger sowie natürliche Einflüsse verändern das Schmuckstück stetig.","geboren in Karl-Marx-Stadt Staatlichen Zeichenakademie Hanau, staatlich geprüfte Silberschmiedin Landessiegerin und 2. Bundessiegerin, deutsches Handwerk, Bundessiegerin „Die Gute Form“ Messe Frankfurt, „Next Design Generation“ mit Alloy 925 MA Industrialdesign, Burg Giebichenstein, Halle","",""
"68e215eb11cd212c8ceed3ab","Anne Fischer","Fischer","anne-fischer","Ihre Gefäße betrachtet Anne Fischer nicht als Gebrauchsgeräte, sondern als Objekte, die uns etwas über ihre Aufgaben und Eigenheiten erzählen. Öffnungen, die aufnehmen und zurückgeben, beschreiben den Weg von Außen nach Innen und umgekehrt. Gefäße seien auch Metaphern für den menschlichen Körper und das menschliche Sein, so die Künstlerin. Messer, Gabel oder Löffel sind für Anne Fischer Persönlichkeiten, deren Charakter sie ergründet und darstellt wie jene von Tänzern. Es gibt Schattenfiguren, neugierige Kinder und Gouvernanten. „Ich fördere ihre Talente und unterstütze sie in ihrer Weiterentwicklung. Abschließend entlasse ich sie auf den Tisch, den sie in eine Bühne verwandeln.“","Geboren in Nürnberg Berufsfachschule für Glas und Schmuck, Neugablonz Akademie der Bildenden Künste in Nürnberg, Klasse Ulla Mayer Künstlerische Mitarbeiterin von Daniel Kruger, Kunsthochschule Halle Burg Giebichenstein, seit 2010 freischaffend","",""
"68e215eb11cd212c8ceed3a7","Angelika Jansen","Jansen","angelika-jansen","Die Gefäßformen von Angelika Jansen sind klar und reduziert. Nach ersten Brennen im Elektro-ofen erfolgt ein Rauchbrand, auch Kapselbrand genannt, bei dem die Objekte mit Pflanzenteilen, Tüchern oder auch Illustrierten umwickelt werden. So entstehen teils geplante, teil zufällige Bildwelten auf den Oberflächen, angesiedelt zwischen Naturalismus und Informel. „Ich suche nach etwas, das ich noch nicht kenne und finde, was ich suche“, sagt die Künstlerin. Ein weiteres Gestaltungselement sind Fundstücke – von Wurzeln und Ästen bis hin zu ehemaligen Gebrauchsgegenständen – die als Symbole in den Arbeiten bewahrt werden.","Geboren in Kempen am Niederrhein Studium Keramik-Design in Krefeld, Professoren Modigell und Albrecht Freischaffende Künstlerin und Keramikdesignerin in Brüggen/Niederrhein Mehrfache Teilnahme bei der Landesausstellung Manu Factum, NRW 3. Preis beim Euregio-Keramikwettbewerb, B-Raeren","",""
"68e215eb11cd212c8ceed3a3","Angela Huebel","Huebel","angela-huebel","Mit unerschöpflicher Kreativität entwickelt Angela Hübel Ringe: mit Perlen, mit Edelsteinen oder ganz in mattiertem Gold. Der Ring als Skulptur, formal reduziert und doch überraschend vielgestaltig und ausdrucksstark. Für Serienschmuck entschied Angela Hübel sich, weil „ein guter Entwurf zu schade ist, um ihn nur einmal anzufertigen.“ Beim kreativen Spiel mit Kugelteilen entstand ihr erster Zwischenfingerring. Daraus wurden weitere Modelle abgeleitet. Skulptural geöffnete Ringe in Navetteformen, in Bögen oder Kugeln auslaufen. Ihre preisgekrönten Arbeiten finden sich in öffentlichen Sammlungen: Stadtmuseum München, Kunstgewerbemuseen Hamburg und Berlin, Kölner Museum für Angewandte Kunst sowie Pinakothek der Moderne in München. Verkaufspreise liegen zwischen 460 und 10000 €.","Geboren in Bochum Akademie der Bildenden Künste, München Atelier in München Winner, Modern Jewelry Collection, Art Aurea","",""
