original_filename,name,method
"Anzeige Metzger in Art Aurea 20170514Lehmann 20170304e mit Beschnitt.pdf","Anzeige Metzger",file_pattern_b
"Ken Price in Studio 2004.tif","Ken Price",file_pattern_b
"Amberif Award Engl.doc","Amberif Award Engl",file_pattern_b
"Amberif Design Award deutsch.doc","Amberif Design Award",file_pattern_b
"Beschreibung Fotos.pdf","Beschreibung Fotos",file_pattern_b
"Guido Geelen atelieropname 2015 .jpeg","Guido Geelen",file_pattern_b
"Fragen an Guido Geelen.doc","Guido Geelen",file_pattern_b
"Fragen deutsch Guido Geelen.doc","Guido Geelen",file_pattern_b
"sculpture 1992 collection Museum De Pont .jpg","Museum De Pont",file_pattern_b
"André Kirbach.doc","André Kirbach",file_pattern_b
"Art Aurea zu Besuch bei Tante Heita.pdf","Art Aurea",file_pattern_b
"Kirbach und Kirbach-Kreß _9696.jpg","Kirbach Kre",file_pattern_b
"Interview_Art Aurea Magazine.rtf","Interview Art Aurea Magazine",file_pattern_b
"Maasai Baumeisterinnen.doc","Maasai Baumeisterinnen",file_pattern_b
"Schönheit in Arve_Englisch.doc","Arve Englisch",file_pattern_b
"Credits_Cilli_DE.docx","Credits Cilli",file_pattern_b
"Credits_Cilli_EN.docx","Credits Cilli",file_pattern_b
"1 Cilli _Lageplan.pdf","Cilli Lageplan",file_pattern_b
"4 Cilli_Ansicht.pdf","Cilli Ansicht",file_pattern_b
"5 Cilli_Schnitt.pdf","Cilli Schnitt",file_pattern_b
"Capture One Catalog0#DFEA5D.jpg","Capture One",file_pattern_b
"Credits_Konzerthaus_Blaibach_DE.docx","Credits Konzerthaus Blaibach",file_pattern_b
"Credits_Konzerthaus_Blaibach_EN.docx","Credits Konzerthaus Blaibach",file_pattern_b
"Konzerthaus_Text_DE+EN.docx","Konzerthaus Text",file_pattern_b
"Schedlberg_Text.pdf","Schedlberg Text",file_pattern_b
"Credits_Schedlberg.docx","Credits Schedlberg",file_pattern_b
"Text_Waldlerhaus Blaibach.docx","Text Waldlerhaus Blaibach",file_pattern_b
"Text_Waldlerhaus Blaibach.pdf","Text Waldlerhaus Blaibach",file_pattern_b
"Jiro Kamata.pdf","Jiro Kamata",file_pattern_b
"2 Trail of Cloud Ahead II.TIF","Cloud Ahead",file_pattern_b
"Manu_An_ArtAurea_2010_x1.pdf","Manu An",file_pattern_b
"Schimmel_Engl.docx","Schimmel Engl",file_pattern_b
"2020_11_ArtAurea_Anzeige_Spreng.pdf","Anzeige Spreng",file_pattern_b
"Bosna_Quilt_Werkstatt_Quilt_2018-25_Lucia_&_Mirza_K_88x116cm.jpg","Bosna Quilt Werkstatt",file_pattern_b
"Bosna_Quilt_Werkstatt_Quilt_2020-15_Lucia_&_Munira_133x140cm.jpg","Bosna Quilt Werkstatt",file_pattern_b
"Bosna_Quilt_Werkstatt_Quilt_2018-21_Lucia_&_Vesna_78x109cm.jpg","Bosna Quilt Werkstatt",file_pattern_b
"Bosna_Quilt_Werkstatt_Quilt_2015-45_Lucia_&_Mirza_K_100x117cm.jpg","Bosna Quilt Werkstatt",file_pattern_b
"Bosna_Quilt_Werkstatt_Quilt_2019-39_Lucia_&_Sabina_83x94cm.jpg","Bosna Quilt Werkstatt",file_pattern_b
"Bosna_Quilt_Werkstatt_Quilt_2019-67_Lucia_&_Safira_113x123cm.jpg","Bosna Quilt Werkstatt",file_pattern_b
"Bosna_Quilt_Werkstatt_Quilt_2020-05_Lucia_&_Sada_100x165cm.jpg","Bosna Quilt Werkstatt",file_pattern_b
"Bosna_Quilt_Werkstatt_Quilt_2019-78_Lucia_&_Munira_140x140cm.jpg","Bosna Quilt Werkstatt",file_pattern_b
"Bosna_Quilt_Werkstatt_Quilt_2020-01_Lucia_&_Sevala_83x141cm.jpg","Bosna Quilt Werkstatt",file_pattern_b
"Bosna_Quilt_Werkstatt_Quilt_2019-66_Lucia_&_Hedija_100x107cm.jpg","Bosna Quilt Werkstatt",file_pattern_b
"Bosna_Quilt_Werkstatt_Bregenz_007.jpg","Bosna Quilt Werkstatt",file_pattern_b
"Bosna_Quilt_Werkstatt_Bregenz_008.jpg","Bosna Quilt Werkstatt",file_pattern_b
"Bosna_Quilt_Werkstatt_Bregenz_003.jpg","Bosna Quilt Werkstatt",file_pattern_b
"Bosna_Quilt_Werkstatt_Bregenz_004.jpg","Bosna Quilt Werkstatt",file_pattern_b
"Bosna_Quilt_Werkstatt_Bregenz_005.jpg","Bosna Quilt Werkstatt",file_pattern_b
"Bosna_Quilt_Werkstatt_Bregenz_006.jpg","Bosna Quilt Werkstatt",file_pattern_b
"Bosna_Quilt_Werkstatt_Quilt_2015-45_Lucia_&_Mirza_K_Detail.jpg","Bosna Quilt Werkstatt",file_pattern_b
"Bosna_Quilt_Werkstatt_Quilt_Detail_004.jpg","Bosna Quilt Werkstatt",file_pattern_b
"Bosna_Quilt_Werkstatt_Quilt_2019-73_Lucia_&_Emina_Detail.jpg","Bosna Quilt Werkstatt",file_pattern_b
"Bosna_Quilt_Werkstatt_Quilt_Detail_003.jpg","Bosna Quilt Werkstatt",file_pattern_b
"Bosna_Quilt_Werkstatt_Quilt_2019-18_Lucia_&_Vesna_Detail.jpg","Bosna Quilt Werkstatt",file_pattern_b
"Bosna_Quilt_2020-42_Ausschnitt.jpg","Bosna Quilt",file_pattern_b
"Bosna_Quilt_Werkstatt_Quilt_2020-15_Munira_Backside.jpg","Bosna Quilt Werkstatt",file_pattern_b
"Bosna_Quilt_Werkstatt_Quilt_Detail_006.jpg","Bosna Quilt Werkstatt",file_pattern_b
"Bosna_Quilt_Werkstatt_Quilt_2018-62_Lucia_&_Mirza_K_Detail.jpg","Bosna Quilt Werkstatt",file_pattern_b
"Bosna_Quilt_Werkstatt_Quilt_2014-12_Safira_&_Hedija_Backside.jpg","Bosna Quilt Werkstatt",file_pattern_b
"Bosna_Quilt_Werkstatt_Quilt_2019-81_Lucia_&_Sada_Detail.jpg","Bosna Quilt Werkstatt",file_pattern_b
"Bosna_Quilt_Werkstatt_Quilt_2019-38_Lucia_&_Emina_Detail.jpg","Bosna Quilt Werkstatt",file_pattern_b
"Bosna_Quilt_Werkstatt_Quilt_Detail_001.jpg","Bosna Quilt Werkstatt",file_pattern_b
