original_folder,name,method
"Hoyer Vorwort J","Hoyer Vorwort",proper_case
"Paolo Marcolongo","Paolo Marcolongo",proper_case
"__MACOSX","Macosx",underscore_upper_single
"_BILDER","Bilder",underscore_upper_single
"_BILDER_AUSWAHL","Bilder Auswahl",underscore_upper
"_BILDER_SELECTION","Bilder Selection",underscore_upper
"_NOT","Not",underscore_upper_single
"?Arthur Möhrle","Arthur Möhrle",proper_case
"""Muster-Mac Codes""","Muster Mac Codes",proper_case
"*Logo Schulte-Hengesbach","Logo Schulte Hengesbach",proper_case
"0 Barcode-Service-2012 Z¸rz","Barcode Service",proper_case
"00_Art Aurea Alle Ausgaben","Aurea Alle Ausgaben",proper_case
"00_INDESIGN","Indesign",underscore_upper_single
"01 Inhalt Bilder","Inhalt Bilder",proper_case
"05 Design Icon Rings","Design Icon Rings",proper_case
"05 Design Icon Rings high res","Design Icon Rings",proper_case
"05 Design Icon Rings specifications","Design Icon Rings",proper_case
"05 Design Icon Rings text","Design Icon Rings",proper_case
"05 Murdered Innocence","Murdered Innocence",proper_case
"05 Murdered Innocence high res","Murdered Innocence",proper_case
"05 Murdered Innocence specifications","Murdered Innocence",proper_case
"05 Murdered Innocence text","Murdered Innocence",proper_case
"08 New Entrance Boijmans van Beuningen","New Entrance Boijmans",proper_case
"0evtl. Bilder Inhalt","Bilder Inhalt",proper_case
"1 a Isabel Buergin","Isabel Buergin",proper_case
"1 Alvarez Lutz 12","Alvarez Lutz",proper_case
"1 Auswahl Fotos Inhaltsverz.","Auswahl Fotos Inhaltsverz",proper_case
"1 Brutto Gusto","Brutto Gusto",proper_case
"1 China Design Center 1 S","China Design Center",proper_case
"1 Coburger Glaspreis 2 S","Coburger Glaspreis",proper_case
"1 Florian Lechner 10 S","Florian Lechner",proper_case
"1 Frauen der Wiener Werkstätten 4","Wiener Werkstätten",proper_case
"1 Friedrich Becker 2","Friedrich Becker",proper_case
"1 Gijs Assmann 4 S","Gijs Assmann",proper_case
"1 Herbert Hoffmann Preise","Herbert Hoffmann Preise",proper_case
"1 Im Reich der Falten 1","Im Reich",proper_case
"1 Jiro Kamata 14 S","Jiro Kamata",proper_case
"1 Karl Fulle 12 S","Karl Fulle",proper_case
"1 Keramiktage Oldenburg","Keramiktage Oldenburg",proper_case
"1 Material Grassi","Material Grassi",proper_case
"1 Mayersche Hofkunstanstalt 16","Mayersche Hofkunstanstalt",proper_case
"1 Mia E Göransson Keramik","Göransson Keramik",proper_case
"1 Neue Barcodes 2020 4 Ausgaben","Neue Barcodes",proper_case
"1 Neue Strichcodes","Neue Strichcodes",proper_case
"1 Niessing Umzug Stores 2 S","Niessing Umzug Stores",proper_case
"1 Réka Fekete 12","Réka Fekete",proper_case
"1 Rozanne Hawksley","Rozanne Hawksley",proper_case
"1 Shinichi Sawada 4 S","Shinichi Sawada",proper_case
"1 Showroom Eunique","Showroom Eunique",proper_case
"1. Diessener Toepferm","Diessener Toepferm",proper_case
"1. Diessener Toepferm. 2019","Diessener Toepferm",proper_case
"1. Diessener Toepferm. 2023-Anzeige-ARTAUREA-InDesign","Diessener Toepferm",proper_case
"1. Diessener Toepfermarkt 2019","Diessener Toepfermarkt",proper_case
"1.0. Diessener Toepferm. 2024-ART AUREA U4","Diessener Toepferm",proper_case
"10 Le Don du Fel","Le Don",proper_case
"10 P Galerie Metzger 4","Galerie Metzger",proper_case
"10 Special Handwerk & D 24 S","Special Handwerk",proper_case
"10_Nonno_Jeannett Hojer Hansen","Hojer Hansen",proper_case
"11Atelier Ulrike Ullmann","Ulrike Ullmann",proper_case
"12 Reveiw Tingleff 2","Reveiw Tingleff",proper_case
"12_The Buffoon_Ana Jimenez Palomar","Jimenez Palomar",proper_case
"12.Vertrieb Zeughausmesse","Vertrieb Zeughausmesse",proper_case
"140328-Art-Aurea-Svenja-John","Art Aurea Svenja",proper_case
"150106-07-Art-Aurea-Windmuehlenmesser","Art Aurea Windmuehlenmesser",proper_case
"150106-07-Art-Aurea-Windmuehlenmesser-Vorauswahl-Aussen","Art Aurea Windmuehlenmesser",proper_case
"150324-Art-Aurea-Olbricht-NEU","Art Aurea Olbricht",proper_case
"16_Waffle Sideboard_Britt Rasmussen_Sarah Cramer_Anders Engholm Kristensen","Engholm Kristensen",proper_case
"17 Angew Kunst Berlin Brand","Angew Kunst Berlin",proper_case
"18 Galerie Heller","Galerie Heller",proper_case
"18 Schwarzmueller-Glas","Schwarzmueller Glas",proper_case
"2 1997 kam Jean Paul Callau als Designer in die Manufaktur.","Jean Paul Callau",proper_case
"2 Anne Mette Hjortshoi - Keramik","Anne Mette Hjortshoi",proper_case
"2 b Manufaktur Teppich-Art-Team","Manufaktur Teppich Art",proper_case
"2 Bayerische Staatspreise","Bayerische Staatspreise",proper_case
"2 Beppe Kessler 10 S","Beppe Kessler",proper_case
"2 Bokyung & Minsoo  - Metzdorf 12","Minsoo Metzdorf",proper_case
"2 Brutto Gusto 2 S","Brutto Gusto",proper_case
"2 Chinas Keramikzentren 1S","Chinas Keramikzentren",proper_case
"2 Das Grassi schmückt 2 S","Das Grassi",proper_case
"2 Dau Hanau 2 S","Dau Hanau",proper_case
"2 Form Forum","Form Forum",proper_case
"2 Gertraud Möhwald 4","Gertraud Möhwald",proper_case
"2 Hans Fischer 14","Hans Fischer",proper_case
"2 Jamie Bennett 10 S","Jamie Bennett",proper_case
"2 John Raustein 4 S","John Raustein",proper_case
"2 Juliane Schölß 12","Juliane Schöl",proper_case
"2 Michael Schimmel 12 S","Michael Schimmel",proper_case
"2 Pforzheim Schmuckmuseum","Pforzheim Schmuckmuseum",proper_case
"2 Phillips - Alev Siesbye","Phillips Alev Siesbye",proper_case
"2 Schmuck End","Schmuck End",proper_case
"2 Schmuck-Objekte","Schmuck Objekte",proper_case
"2 Showroom Andere","Showroom Andere",proper_case
"2 Sugita - Boecker 4 S","Sugita Boecker",proper_case
"2 Talente Gewinner","Talente Gewinner",proper_case
"2 Wasinburee Supanichvoraparch 10 S","Wasinburee Supanichvoraparch",proper_case
"2 Wolli Lieglein 12","Wolli Lieglein",proper_case
"2-Zwickau-Schneeberg","Zwickau Schneeberg",proper_case
"2. Diessener Töpfermarkt-Anzeige-Art Aurea","Diessener Töpfermarkt Anzeige",proper_case
"2. PDF-Iso-Coated v2","Iso Coated",proper_case
"2. Seite Christie's London 1 Seite","Seite Christie",proper_case
"20 Eva Maisch","Eva Maisch",proper_case
"2014_AA19_HEGER_EMIL","Heger Emil",underscore_upper
"2016_AA25_HUBER_KUENZLI_JAPAN","Huber Kuenzli Japan",underscore_upper
"2016_AA25_ROTHMAN_GERD","Rothman Gerd",underscore_upper
"2018_AA33_MINEGISHI_YUKATA","Minegishi Yukata",underscore_upper
"2018_AA35_MUELLER_FELIX_SABINE","Mueller Felix Sabine",underscore_upper
"2019_AA36_KRUGER_DANIEL","Kruger Daniel",underscore_upper
"2019_AA37_PAVAN_FRANCESCO","Pavan Francesco",underscore_upper
"2019_AA37_RAIMER_JOACHIM","Raimer Joachim",underscore_upper
"2019_AA37_SCHMIDT_OLIVER","Schmidt Oliver",underscore_upper
"2019_AA37_STAIR_JULIAN","Stair Julian",underscore_upper
"2019_AA37_WILHELM_PAUL","Wilhelm Paul",underscore_upper
"2020_AA39_FULLE_KARL","Fulle Karl",underscore_upper
"2020_AA39_KESSLER_BEPPE","Kessler Beppe",underscore_upper
"2020_AA40_VEIT_GABI","Veit Gabi",underscore_upper
"2020_AA42_KAMATA_JIRO","Kamata Jiro",underscore_upper
"2021_AA45_BAIER_OTTO","Baier Otto",underscore_upper
"2021_AA45_KIPPENBERGER_HEIDI","Kippenberger Heidi",underscore_upper
"2021_AA46_BRUNNER_PETZOLD","Brunner Petzold",underscore_upper
"2021_AA46_NOGUEIRA KIMBERLY","Nogueira Kimberly",upper_space
"2021_AA46_REITZNER_BILLA","Reitzner Billa",underscore_upper
"2022_AA47_FISCHER_HANS_MARIA","Fischer Hans Maria",underscore_upper
"2022_AA48_BURZIK_ALEXANDER","Burzik Alexander",underscore_upper
"2022_AA48_SCHLOSS_JULIANE","Schloss Juliane",underscore_upper
"2022_AA49_BOKYUNG_MINSOO","Bokyung Minsoo",underscore_upper
"2022_AA49_SMIT_ROBERT","Smit Robert",underscore_upper
"2022_AA50_YOUNG_JAE","Young Jae",underscore_upper
"2023_AA51_MAISCH_EVA","Maisch Eva",underscore_upper
"2023_AA53_DELARUE_MARION","Delarue Marion",underscore_upper
"2024_AA56_VIGELAND_TONE","Vigeland Tone",underscore_upper
"2024_AA58_LAMBERTS_GLAS","Lamberts Glas",underscore_upper
"2024_AA58_VISINTIN_GRAZIANO","Visintin Graziano",underscore_upper
"2025_AA61_CC_ILIEFSKI_CAMILLA","Cc Iliefski Camilla",underscore_upper
"2025_AA61_CC_LINTZEN_SABINE","Cc Lintzen Sabine",underscore_upper
"2025_AA61_CC_NORD_ELA","Cc Nord Ela",underscore_upper
"2025_AA61_CC_PRUES_NICOLE","Cc Prues Nicole",underscore_upper
"2025_AA61_CC_REDDY_MARK","Cc Reddy Mark",underscore_upper
"21 Galerie Heller","Galerie Heller",proper_case
"25000 Jahre Schmuck 1:1","Jahre Schmuck",proper_case
"2Bilder Fuer Inhalt","Fuer Inhalt",proper_case
"3 + 4. Seite Phillips New York 2 Seiten","Seite Phillips New",proper_case
"3 Anna Rubin 4 S","Anna Rubin",proper_case
"3 Arts Crafts World 24","Arts Crafts World",proper_case
"3 Bilder Altes Atelier","Bilder Altes Atelier",proper_case
"3 Bosna Quilt 12 S","Bosna Quilt",proper_case
"3 Cecilie Feilchenfeld 10","Cecilie Feilchenfeld",proper_case
"3 Emma Stipendium 2 S","Emma Stipendium",proper_case
"3 Form Forum","Form Forum",proper_case
"3 Frank Landau","Frank Landau",proper_case
"3 Gabi Veit 10 S","Gabi Veit",proper_case
"3 Helen Drutt 13","Helen Drutt",proper_case
"3 Lucy Sarneel 4 S","Lucy Sarneel",proper_case
"3 Markus Stenger 10S","Markus Stenger",proper_case
"3 Pauline Bétin","Pauline Bétin",proper_case
"3 Preview-Review","Preview Review",proper_case
"3 Renate Slavik - Schmuck","Renate Slavik Schmuck",proper_case
"3 Ryuhei Sako 4 S","Ryuhei Sako",proper_case
"3 Schulte-Hengesbach","Schulte Hengesbach",proper_case
"3 Susanne Hammer 2 S","Susanne Hammer",proper_case
"3 Tanja Mosse","Tanja Mosse",proper_case
"3 Theis Keramikmuseum 12 S","Theis Keramikmuseum",proper_case
"3_Solid Spin Lamps Collection_Johanna Tammsalu","Spin Lamps",proper_case
"3-Burg Gibiechenstein","Burg Gibiechenstein",proper_case
"3. DS Ghana_Akwele Suma Glory","Suma Glory",proper_case
"4 Anne Petters","Anne Petters",proper_case
"4 Arts Crafts World 20","Arts Crafts World",proper_case
"4 Danner-Preis 2020 2 S","Danner Preis",proper_case
"4 Earth Wind, Fire 10 S","Earth Wind",proper_case
"4 Eunique Vorschau","Eunique Vorschau",proper_case
"4 Friederike Maltz - Gerät","Friederike Maltz Gerät",proper_case
"4 Gudberg Nerger","Gudberg Nerger",proper_case
"4 Hannah Ryggen 10 S","Hannah Ryggen",proper_case
"4 Heidi Kippenberg 7 S","Heidi Kippenberg",proper_case
"4 Herbert Hofmann Preis 2","Herbert Hofmann Preis",proper_case
"4 Interview Sarah Myerscough 6 S","Interview Sarah Myerscough",proper_case
"4 Isabel Bürgin","Isabel Bürgin",proper_case
"4 Loewe Craft Prize 22-23","Loewe Craft Prize",proper_case
"4 Schmuck Sonderschau 12 S","Schmuck Sonderschau",proper_case
"4 Sprach - Reimers 4 S","Sprach Reimers",proper_case
"4 Stefanie Klepser","Stefanie Klepser",proper_case
"4. Zur Ausstellung","Zur Ausstellung",proper_case
"4Schoen u nuetzlich Anna Sykora","Anna Sykora",proper_case
"5 Anna Mlasowsky 4 S","Anna Mlasowsky",proper_case
"5 Arts Crafts World 24","Arts Crafts World",proper_case
"5 Bilder Titel + Inhalt","Bilder Titel",proper_case
"5 Burggraf-Burggraf 6 S","Burggraf Burggraf",proper_case
"5 Danner-Rotunde 15","Danner Rotunde",proper_case
"5 Jetzt von hier - Keramik Heller 4","Keramik Heller",proper_case
"5 Karin Roy Andersson","Karin Roy Andersson",proper_case
"5 Matter-Moves-Mind 2 S","Matter Moves Mind",proper_case
"5 Teximus - Läubli - Textil","Teximus Läubli Textil",proper_case
"5 Thomas Gentille 6 S","Thomas Gentille",proper_case
"5 Two Rooms","Two Rooms",proper_case
"5. Erst seit gut einem Jahr ist der 1990 geborene Michael Specker","Michael Specker",proper_case
"6 Authentische Orte","Authentische Orte",proper_case
"6 Haleh Redjaian 4S","Haleh Redjaian",proper_case
"6 Karl Scheid 8 S","Karl Scheid",proper_case
"6 Louise Bourgeoise 4","Louise Bourgeoise",proper_case
"6 Mit Stich und Faden 12 S","Mit Stich",proper_case
"6 Staatspreis Rh-Pf 2 S","Staatspreis Rh Pf",proper_case
"6. Anja Franke","Anja Franke",proper_case
"6Georg Dobler, Margit Jaeschke 1","Margit Jaeschke",proper_case
"7 André Kirbach 1","André Kirbach",proper_case
"7 Claudia Hoppe 4 S","Claudia Hoppe",proper_case
"7 Hotel Ultra","Hotel Ultra",proper_case
"7 Preview Alchemie der Oberfläche 4 S","Preview Alchemie",proper_case
"7 Tony Cragg 2","Tony Cragg",proper_case
"7. Fabian Niehl Fassen,","Fabian Niehl Fassen",proper_case
"8 Inhorgenta Vorschau 4 S","Inhorgenta Vorschau",proper_case
"8 P Kunst a d Stille Galerie Heller 4 S","Stille Galerie Heller",proper_case
"8 Sonngard Marcks 4 S","Sonngard Marcks",proper_case
"8 Zeughausmesse (Unicode-Codierungskonflikt)","Unicode Codierungskonflikt",proper_case
"8 ZIMMER Der Altstadt-Juwelier","Der Altstadt Juwelier",proper_case
"8. Marion Biller","Marion Biller",proper_case
"8British Ceramic Biennal 1:2","Ceramic Biennal",proper_case
"9 Barbara Schmidt 2","Barbara Schmidt",proper_case
"9 Contemporary Applied Arts CAA","Contemporary Applied Arts",proper_case
"9 Fantastische Frauen","Fantastische Frauen",proper_case
"9 PJacotte et Roger Capron 4","Roger Capron",proper_case
"9 Soren Krag 4 S","Soren Krag",proper_case
"9. Swing Ring","Swing Ring",proper_case
"A Ehinger Material red","Ehinger Material",proper_case
"A single sample book Really_by Christien Meindertsma","Christien Meindertsma",proper_case
"A. Zanella + Renzo Pasquale 10","Renzo Pasquale",proper_case
"AA_CuratorsChoice -Ptolemy-Mann Ordner","Ptolemy Mann Ordner",proper_case
"AA_CuratorsChoice-Claud Aufgaben","Claud Aufgaben",proper_case
"AA_CuratorsChoice-Kate-Jones","Kate Jones",proper_case
"AA_CuratorsChoice-Oir-Orisun","Oir Orisun",proper_case
"AA_SEDA","Seda",underscore_upper_single
"AA36_CMYK IMAGES","Cmyk Images",upper_space
"Abbildungen Künstlerschmuck","Abbildungen Künstlerschmuck",proper_case
"Abel-Kremer","Abel Kremer",proper_case
"Absolute Appetite","Absolute Appetite",proper_case
"Accessoires Textil Spielsachen anderes","Accessoires Textil Spielsachen",proper_case
"Acoustic Textile Felt","Acoustic Textile Felt",proper_case
"Adrean Bloomard","Adrean Bloomard",proper_case
"Aftermath-Fotos","Aftermath Fotos",proper_case
"Ai Weiwei 2 S","Ai Weiwei",proper_case
"Akademie Gestaltung und Design","Akademie Gestaltung",proper_case
"Akiko Hirai","Akiko Hirai",proper_case
"Akio Takamori 4 S","Akio Takamori",proper_case
"Albers Fenster","Albers Fenster",proper_case
"Alburg Duncker 1:3","Alburg Duncker",proper_case
"Alburg Duncker, Mareen","Alburg Duncker",proper_case
"Alburg-Duncker","Alburg Duncker",proper_case
"Alev Siesbye","Alev Siesbye",proper_case
"Alexa Lixfeld","Alexa Lixfeld",proper_case
"Alexander Blank","Alexander Blank",proper_case
"Alexander Seitz Glas","Alexander Seitz Glas",proper_case
"Aline Brun","Aline Brun",proper_case
"Alison Britton 10","Alison Britton",proper_case
"Alja Neuner - LOGO","Alja Neuner",proper_case
"Altstadtgalerie Tritschler","Altstadtgalerie Tritschler",proper_case
"Amsterdam–Dusan Rodic","Dusan Rodic",proper_case
"Andi Wüthrich 1:6","Andi Wüthrich",proper_case
"Andile Dyalvane","Andile Dyalvane",proper_case
"Andre Kirbach","Andre Kirbach",proper_case
"André Kirbach","André Kirbach",proper_case
"Andrea Riegel","Andrea Riegel",proper_case
"Andrea Sohne 1:6","Andrea Sohne",proper_case
"Andrea Walsh","Andrea Walsh",proper_case
"Andreas Gerig","Andreas Gerig",proper_case
"Andreas Steinemann","Andreas Steinemann",proper_case
"Andrew Lamb","Andrew Lamb",proper_case
"Anemone Tontsch 3","Anemone Tontsch",proper_case
"Anette Ehinger","Anette Ehinger",proper_case
"Anette Ehinger 1:6","Anette Ehinger",proper_case
"Anette Ehinger da","Anette Ehinger",proper_case
"Angela Hübel","Angela Hübel",proper_case
"Angela Hübel 2012","Angela Hübel",proper_case
"Angela Hübel da","Angela Hübel",proper_case
"Angelika Karoly 1:6","Angelika Karoly",proper_case
"Angelika Karoly C","Angelika Karoly",proper_case
"Angelika Krauß 1:6","Angelika Krau",proper_case
"Angewandte Kunst Schneeberg","Angewandte Kunst Schneeberg",proper_case
"Aninka Harms 2","Aninka Harms",proper_case
"Anita Furrer 1:3","Anita Furrer",proper_case
"Anita Oettershagen 14 S","Anita Oettershagen",proper_case
"Anja Eichler 1:6","Anja Eichler",proper_case
"Anja Klettner 1:6","Anja Klettner",proper_case
"Anke Henning 1:6","Anke Henning",proper_case
"Anke Neumann","Anke Neumann",proper_case
"Anke Neumann Lichtpapier","Anke Neumann Lichtpapier",proper_case
"Ann Van Hoey","Ann Van Hoey",proper_case
"Ann Wolff - für AA 02_22","Ann Wolff",proper_case
"Anna Heringer 18","Anna Heringer",proper_case
"Anna Heringer Altar Worms","Anna Heringer Altar",proper_case
"Anna Heringer Anandaloy Bangaldesch","Anna Heringer Anandaloy",proper_case
"Anna Heringer Bamboo Hostels China","Anna Heringer Bamboo",proper_case
"Anna Heringer divers","Anna Heringer",proper_case
"Anna Heringer Geburtsraum Hittisau","Anna Heringer Geburtsraum",proper_case
"Anna Heringer Ghana Classroom","Anna Heringer Ghana",proper_case
"Anna Heringer Laden","Anna Heringer Laden",proper_case
"Anna Heringer METI School","Anna Heringer",proper_case
"Anna Heringer Omicron Living Spaces","Anna Heringer Omicron",proper_case
"Anna Heringer Porträts","Anna Heringer Porträts",proper_case
"Anna Heringer Rosana (low res, auch high res verfügbar)","Anna Heringer Rosana",proper_case
"Anna Heringer Textilien Biennale 2018","Anna Heringer Textilien",proper_case
"Anna Heringer Traunstein","Anna Heringer Traunstein",proper_case
"Anna Heringer Zimbabwe Kindergarden","Anna Heringer Zimbabwe",proper_case
"Anna Pirk","Anna Pirk",proper_case
"Anna Schmid 1:6","Anna Schmid",proper_case
"Anna Sykora","Anna Sykora",proper_case
"Anna Sykora 1:6","Anna Sykora",proper_case
"Anna Wüller 6 S","Anna Wüller",proper_case
"Anne Andersson 1:6","Anne Andersson",proper_case
"Anne Wiedau","Anne Wiedau",proper_case
"Anne-Sophie Duval","Anne Sophie Duval",proper_case
"Annemarie Matzakow","Annemarie Matzakow",proper_case
"Annette Ehinger","Annette Ehinger",proper_case
"Annette Janecke","Annette Janecke",proper_case
"Annette Lechler","Annette Lechler",proper_case
"Annette Lechler 1:6","Annette Lechler",proper_case
"Annie Turner","Annie Turner",proper_case
"Ansicht-PDFs. Anzeige Diessener Toepferm. 2018","Anzeige Diessener Toepferm",proper_case
"Antje Brüggemann 2 S","Antje Brüggemann",proper_case
"Antje Dienstbir","Antje Dienstbir",proper_case
"Antje Dienstbir 6 Seiten","Antje Dienstbir",proper_case
"Antje Dienstbir, Metall","Antje Dienstbir",proper_case
"Antje Liebscher 1:3","Antje Liebscher",proper_case
"Antje Scharfe","Antje Scharfe",proper_case
"Antje Stutz","Antje Stutz",proper_case
"Antje Stutz 1:6","Antje Stutz",proper_case
"Antonino Spoto","Antonino Spoto",proper_case
"Antwerpen-Shana Teugels","Antwerpen Shana Teugels",proper_case
"ANZEIGE BRUTTO GUSTO","Anzeige Brutto Gusto",upper_space
"Anzeige Dau","Anzeige Dau",proper_case
