Item ID,Name,Slug
68e23e00684be0c5c0ac4c2d,Andere Materialien,other-materials
68e23e00684be0c5c0ac4c2b,Pigmente & Beschichtungen,pigments-coatings
68e23e00684be0c5c0ac4c29,Synthetische Materialien,synthetic-materials
68e23e00684be0c5c0ac4c27,Papier & Pappe,paper-cardboard
68e23e00684be0c5c0ac4c25,Textilien & Fasern,textiles-fibers
68e23e00684be0c5c0ac4c23,Glas & Kristall,glass-crystal
68e23e00684be0c5c0ac4c21,Keramik & Ton,ceramics-clay
68e23e00684be0c5c0ac4c1f,Organische Materialien,organic-materials
68e23e00684be0c5c0ac4c1d,Steine & Mineralien,stones-minerals
68e13f416bff5d9111b9735d,Metalle,metals
