Creator,Profile URL,Artwork Title,Caption,Year,Image URL,Filename,Creator in Sanity,Creator ID
"ATARA design / Heike Stuckstedde","https://artaurea.de/profiles/atara-design-stuckstedde-heike/","LIGHT\TRACE No. 1. © ATARA design.","LIGHT\TRACE No. 1. © ATARA design.","","https://artaurea.de/wp-content/uploads/2021/05/ATARA_Heike-Stuckstedde_LIGHT-TRACE-No1-ATARAdesign.jpg","ATARA_Heike-Stuckstedde_LIGHT-TRACE-No1-ATARAdesign.jpg","No",""
"ATARA design / Heike Stuckstedde","https://artaurea.de/profiles/atara-design-stuckstedde-heike/","LIGHT\TRACE No. 1. © ATARA design.","LIGHT\TRACE No. 1. © ATARA design.","","https://artaurea.de/wp-content/uploads/2021/05/ATARA_Heike-Stuckstedde_LIGHT-TRACE-No1-ATARAdesign_ART-AUREA.jpg","ATARA_Heike-Stuckstedde_LIGHT-TRACE-No1-ATARAdesign_ART-AUREA.jpg","No",""
"ATARA design / Heike Stuckstedde","https://artaurea.de/profiles/atara-design-stuckstedde-heike/","LIGHT\TRACE No. 1 & LIGHT\TRACE No. 8. © ATARA design.","LIGHT\TRACE No. 1 & LIGHT\TRACE No. 8. © ATARA design.","","https://artaurea.de/wp-content/uploads/2021/05/ATARA_Heike-Stuckstedde_No-1_LIGHT-TRACE-No-8.jpg","ATARA_Heike-Stuckstedde_No-1_LIGHT-TRACE-No-8.jpg","No",""
"ATARA design / Heike Stuckstedde","https://artaurea.de/profiles/atara-design-stuckstedde-heike/","LIGHT\TRACE No. 8. © ATARA design.","LIGHT\TRACE No. 8. © ATARA design.","","https://artaurea.de/wp-content/uploads/2021/05/ATARA_Heike-Stuckstedde_LIGHT-TRACE-No-8_ATARA_design.jpg","ATARA_Heike-Stuckstedde_LIGHT-TRACE-No-8_ATARA_design.jpg","No",""
"ATARA design / Heike Stuckstedde","https://artaurea.de/profiles/atara-design-stuckstedde-heike/","LIGHT\TRACE No. 8. © ATARA design.","LIGHT\TRACE No. 8. © ATARA design.","","https://artaurea.de/wp-content/uploads/2021/05/ATARA_Heike-Stuckstedde_LIGHT-TRACE-No8_ATARA_design.jpg","ATARA_Heike-Stuckstedde_LIGHT-TRACE-No8_ATARA_design.jpg","No",""
"ATARA design / Heike Stuckstedde","https://artaurea.de/profiles/atara-design-stuckstedde-heike/","LIGHT\SPOT No. 1. © ATARA design.","LIGHT\SPOT No. 1. © ATARA design.","","https://artaurea.de/wp-content/uploads/2021/05/ATARA_Heike-Stuckstedde_LIGHT-SPOT-No1_ATARA-design.jpg","ATARA_Heike-Stuckstedde_LIGHT-SPOT-No1_ATARA-design.jpg","No",""
"ATARA design / Heike Stuckstedde","https://artaurea.de/profiles/atara-design-stuckstedde-heike/","LIGHT\TRACE No. 7. © ATARA design.","LIGHT\TRACE No. 7. © ATARA design.","","https://artaurea.de/wp-content/uploads/2021/05/ATARA_Heike-Stuckstedde_LIGHT-TRACE-No7_ATARA_design.jpg","ATARA_Heike-Stuckstedde_LIGHT-TRACE-No7_ATARA_design.jpg","No",""
"ATARA design / Heike Stuckstedde","https://artaurea.de/profiles/atara-design-stuckstedde-heike/","LIGHT\TRACE No. 7. © ATARA design.","LIGHT\TRACE No. 7. © ATARA design.","","https://artaurea.de/wp-content/uploads/2021/05/ATARA_Heike-Stuckstedde_LIGHT-TRACE-No7_ATARA-design.jpg","ATARA_Heike-Stuckstedde_LIGHT-TRACE-No7_ATARA-design.jpg","No",""
"ATARA design / Heike Stuckstedde","https://artaurea.de/profiles/atara-design-stuckstedde-heike/","LIGHT\TRACE No. 2. © ATARA design.","LIGHT\TRACE No. 2. © ATARA design.","","https://artaurea.de/wp-content/uploads/2021/05/ATARA_Heike-Stuckstedde-LIGHT-TRACE-No-2_ATARA-design.jpg","ATARA_Heike-Stuckstedde-LIGHT-TRACE-No-2_ATARA-design.jpg","No",""
"ATARA design / Heike Stuckstedde","https://artaurea.de/profiles/atara-design-stuckstedde-heike/","LIGHT\TRACE No. 2. © ATARA design.","LIGHT\TRACE No. 2. © ATARA design.","","https://artaurea.de/wp-content/uploads/2021/05/ATARA_Heike-Stuckstedde_LIGHT-TRACE-No2_ATARA-design.jpg","ATARA_Heike-Stuckstedde_LIGHT-TRACE-No2_ATARA-design.jpg","No",""
